[2026-03-09 11:19:26.645253] Starting Lab Monitor Server on http://0.0.0.0:5000
[2026-03-09 11:19:26.645305] Screenshots directory: /data/server/screenshots
 * Serving Flask app 'app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.17.0.8:5000
[33mPress CTRL+C to quit[0m
192.168.29.107 - - [09/Mar/2026 11:22:00] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:02] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:04] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:06] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:08] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:10] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:12] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:14] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:16] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:18] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:20] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:22] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:24] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:26] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:28] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:30] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:32] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:34] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:36] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:38] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:40] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:42] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:44] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:46] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:48] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:50] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:52] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:54] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:56] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:22:58] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:23:00] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:23:02] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:23:04] "GET /api/machines HTTP/1.1" 200 -
